0.108332, 0.0286659, -0.048032, 0.0468933, 0.00583113, -0.000763244, -0.0451211, -0.00280862, 0.00180118, 0.780295, 0.0313978, 0.0481275, -2.77556e-17, -4.33681e-18, -1.20371e-34
0.102103, 0.0270306, -0.0494171, 0.0641471, 0.0076544, -0.000832311, -0.0602442, -0.00394629, 0.00260987, 0.787229, 0.0331981, 0.0468812, 8.32667e-17, 0, 0
0.0869569, 0.0232361, -0.0526988, 0.105047, 0.0119342, -0.00109517, -0.0960905, -0.00671142, 0.00438581, 0.803756, 0.0374973, 0.0438787, -2.77556e-17, -8.67362e-18, 3.46945e-18
0.0682212, 0.0189114, -0.0565286, 0.1533, 0.0169017, -0.00149729, -0.13838, -0.0100713, 0.00622278, 0.82346, 0.042666, 0.0402711, 2.77556e-17, 6.93889e-18, 6.93889e-18
0.0510395, 0.0154566, -0.059466, 0.193312, 0.020902, -0.00147537, -0.17346, -0.0128366, 0.00752553, 0.840213, 0.0472224, 0.0373616, 5.41668e-35, -1.56125e-17, 3.46945e-18
0.0343019, 0.0124979, -0.0619904, 0.228199, 0.0244263, -0.000861574, -0.204078, -0.0151574, 0.00851322, 0.855199, 0.05138, 0.0349865, 6.01853e-36, 1.73472e-18, -3.46945e-18
0.0166831, 0.00970129, -0.0642863, 0.262286, 0.0278952, 6.59885e-05, -0.234015, -0.0173845, 0.00934849, 0.87016, 0.0556826, 0.032719, 2.77556e-17, -1.73472e-17, -6.93889e-18
-0.00148589, 0.00715845, -0.0658964, 0.295139, 0.0311068, 0.00115388, -0.262874, -0.0195144, 0.010018, 0.884996, 0.0603165, 0.0304979, 5.55112e-17, 0, 0
-0.0199721, 0.00490105, -0.0665138, 0.32647, 0.03388, 0.00234587, -0.290384, -0.0215361, 0.0105149, 0.899778, 0.0655307, 0.028256, -2.77556e-17, 1.73472e-18, 4.81482e-35
-0.0390564, 0.00283031, -0.0668465, 0.356665, 0.0363609, 0.00388853, -0.316888, -0.0234285, 0.0108694, 0.915035, 0.0715653, 0.0259671, 2.77556e-17, -8.67362e-18, 6.93889e-18
-0.058502, 0.000970327, -0.0671058, 0.385421, 0.0385538, 0.00563219, -0.342123, -0.0251894, 0.0111017, 0.929826, 0.077834, 0.0236561, -5.55112e-17, -5.20417e-18, -2.88889e-34
-0.0779698, -0.000626732, -0.0673539, 0.412303, 0.0403845, 0.00735964, -0.365705, -0.0268192, 0.0112278, 0.943011, 0.0836387, 0.0214159, 2.77556e-17, -5.20417e-18, -3.46945e-18
-0.0972626, -0.00196038, -0.0671989, 0.437037, 0.0417821, 0.0089848, -0.38739, -0.0283023, 0.0112601, 0.954634, 0.0886628, 0.0193297, -1.20371e-35, -1.73472e-18, -6.93889e-18
